idx,key,repeat_sec
1,q,0.0
2,g,0.0
3,t,0.0
4,t,4.768
5,t,1.2266
6,t,2.3987
7,t,2.3823
8,q,0.0
9,q,3.4495
10,q,5.8472
11,q,4.2161
12,q,9.2202
13,q,0.7932
14,a,0.0
15,a,0.235
16,a,0.2855
17,t,0.0
18,a,0.0
19,q,0.0
20,q,0.6775
21,a,0.0
22,a,0.2201
23,e,0.0
24,e,0.4868
25,e,0.1841
26,e,0.1567
27,e,0.1587
28,e,0.1455
29,e,0.1539
30,1,0.0
31,a,0.0
32,q,0.0
33,q,0.3012
34,q,0.2305
35,q,9.5245
36,e,0.0
37,e,0.1763
38,e,0.1567
39,e,0.2518
40,e,0.1746
41,2,0.0
42,w,0.0
43,q,0.0
44,e,0.0
45,e,0.2009
46,e,0.1647
47,e,0.1814
48,d,0.0
49,d,0.1564
50,d,0.1484
51,d,0.1502
52,q,0.0
53,q,0.1865
54,q,0.2311
55,q,0.1763
56,q,0.2392
57,q,0.1974
58,q,0.1902
59,q,0.1863
60,q,0.2044
61,w,0.0
62,f,0.0
63,f,0.1744
64,f,0.1682
65,f,0.1795
66,q,0.0
67,q,0.2028
68,1,0.0
69,4,0.0
70,g,0.0
71,w,0.0
72,q,0.0
73,q,0.5525
74,q,0.3723
75,q,0.5516
76,q,0.6392
77,a,0.0
78,a,0.2244
79,q,0.0
80,a,0.0
81,q,0.0
82,q,2.5245
83,a,0.0
84,q,0.0
85,a,0.0
86,a,1.1259
87,q,0.0
88,a,0.0
89,a,1.339
90,q,0.0
91,4,0.0
92,e,0.0
93,q,0.0
94,e,0.0
95,e,0.1637
96,1,0.0
97,1,1.323
98,1,0.2014
99,1,0.1952
100,1,0.1791
101,2,0.0
102,q,0.0
103,q,24.1825
104,w,0.0
105,e,0.0
106,e,0.2078
107,e,0.1829
108,q,0.0
109,q,7.0635
110,q,2.7727
111,q,2.0281
112,1,0.0
113,e,0.0
114,e,0.1683
115,e,0.2465
116,d,0.0
117,d,0.1514
118,d,0.1676
119,q,0.0
120,q,0.1851
121,q,0.4607
122,q,0.2098
123,q,0.1727
124,r,0.0
125,q,0.0
126,q,5.0855
127,e,0.0
128,e,0.2197
129,e,0.1559
130,r,0.0
131,r,0.1402
132,r,0.1348
133,r,0.1857
134,q,0.0
135,q,0.2063
136,q,0.2207
137,q,0.232
138,q,0.208
139,q,0.1996
140,w,0.0
141,q,0.0
142,q,0.2286
143,q,0.1942
144,q,0.2213
145,q,0.2065
146,q,0.4866
147,q,0.6781
148,q,0.2144
149,q,0.2277
150,q,0.2631
151,q,0.2511
152,1,0.0
153,q,0.0
154,q,0.2307
155,a,0.0
156,1,0.0
157,a,0.0
158,q,0.0
159,e,0.0
160,e,0.2093
161,e,0.1666
162,e,0.163
163,e,0.1878
164,q,0.0
165,a,0.0
166,a,0.2253
167,q,0.0
168,a,0.0
169,w,0.0
170,w,1.1809
171,w,0.2451
172,4,0.0
173,q,0.0
174,q,6.0445
175,t,0.0
176,q,0.0
177,q,2.6469
178,q,0.1948
179,q,0.2494
180,w,0.0
181,q,0.0
182,q,2.3647
183,q,0.973
184,q,2.4788
185,q,1.7982
186,q,0.8084
187,q,39.5991
188,q,2.3162
189,q,6.3983
190,e,0.0
191,q,0.0
192,w,0.0
193,q,0.0
194,q,0.9496
195,q,1.7538
196,q,13.953
197,e,0.0
198,e,0.2201
199,e,0.1643
200,e,0.1829
201,w,0.0
202,1,0.0
203,f,0.0
204,q,0.0
205,1,0.0
206,q,0.0
207,q,6.5696
208,e,0.0
209,e,0.2142
210,e,0.1517
211,e,0.1578
212,r,0.0
213,r,0.1335
214,r,0.1344
215,d,0.0
216,d,0.1497
217,d,0.1326
218,q,0.0
219,q,0.193
220,q,0.2628
221,q,0.2361
222,q,0.1788
223,q,0.2252
224,w,0.0
225,w,0.1781
226,w,0.1841
227,q,0.0
228,q,0.2181
229,q,0.1858
230,q,0.1829
231,q,0.1731
232,q,0.1782
233,q,0.1765
234,q,0.2273
235,q,0.2045
236,q,0.2064
237,t,0.0
238,t,36.0533
239,w,0.0
240,q,0.0
241,q,0.672
242,q,0.9084
243,q,0.8679
244,q,0.8924
245,q,2.8795
246,e,0.0
247,q,0.0
248,q,0.9194
249,e,0.0
250,q,0.0
251,a,0.0
252,a,2.4741
253,q,0.0
254,e,0.0
255,e,0.2414
256,e,0.1902
257,q,0.0
258,w,0.0
259,q,0.0
260,q,0.1817
261,q,0.2892
262,q,0.1959
263,q,0.1657
264,1,0.0
265,1,0.1745
266,1,0.1599
267,1,0.1666
268,q,0.0
269,q,0.2118
270,q,0.1697
271,q,2.2225
272,q,0.2254
273,q,0.195
274,q,0.179
275,q,0.2068
276,4,0.0
277,q,0.0
278,w,0.0
279,q,0.0
280,q,0.7189
281,q,1.5819
282,e,0.0
283,e,1.243
284,q,0.0
285,q,1.9249
286,1,0.0
287,q,0.0
288,e,0.0
289,e,0.2143
290,e,0.2032
291,q,0.0
292,a,0.0
293,a,0.1775
294,q,0.0
295,a,0.0
296,a,0.2091
297,a,1.4579
298,r,0.0
299,r,0.4621
300,d,0.0
301,d,0.15
302,d,0.1426
303,d,0.1571
304,q,0.0
305,q,0.2325
306,w,0.0
307,q,0.0
308,q,0.2068
309,q,1.5479
310,1,0.0
311,1,0.2439
312,1,0.2005
313,1,0.2161
314,1,0.1925
315,1,0.1881
316,q,0.0
317,q,0.2048
318,q,0.1731
319,1,0.0
320,1,0.1853
321,1,0.2186
322,1,0.1999
323,1,0.1967
324,1,1.1107
325,1,0.1932
326,1,0.1894
327,1,0.2049
328,1,0.8899
329,1,0.2168
330,1,0.429
331,4,0.0
332,g,0.0
333,q,0.0
334,q,0.7527
335,q,2.2155
336,q,1.0228
337,4,0.0
338,a,0.0
