idx,key,repeat_sec
1,q,0.0
2,q,48.3499
3,q,0.4323
4,a,0.0
5,a,0.3957
6,a,0.2165
7,a,0.2398
8,a,0.2498
9,a,0.202
10,a,0.2169
11,a,0.2115
12,a,0.1873
13,a,0.2414
14,a,0.2102
15,a,0.194
16,a,0.2033
17,a,0.2021
18,a,0.1989
19,a,0.2076
20,a,0.2191
21,a,0.1831
22,a,0.1936
23,a,0.1933
24,a,0.2088
25,a,0.2223
26,a,0.206
27,a,0.2065
28,a,0.9129
29,a,0.7059
30,a,0.351
31,a,0.3572
32,a,0.2385
33,a,1.0113
34,a,1.3316
35,q,0.0
36,a,0.0
37,a,0.6219
38,a,0.2108
39,a,0.1904
40,a,0.1996
41,a,0.184
42,a,0.1749
43,a,0.185
44,q,0.0
45,a,0.0
46,a,0.3713
47,a,0.2261
48,a,0.2351
49,a,1.5696
50,1,0.0
51,a,0.0
52,a,0.2405
53,q,0.0
54,4,0.0
55,q,0.0
56,e,0.0
57,q,0.0
58,a,0.0
59,a,1.8293
60,a,0.2528
61,a,0.2227
62,a,9.8408
63,a,1.5333
64,q,0.0
65,e,0.0
66,e,0.1621
67,e,0.1728
68,e,0.2117
69,e,0.232
70,a,0.0
71,q,0.0
72,a,0.0
73,a,0.2274
74,a,0.2333
75,a,0.2169
76,a,0.3069
77,a,0.2699
78,a,0.2124
79,f,0.0
80,d,0.0
81,q,0.0
82,q,0.1912
83,q,0.2047
84,d,0.0
85,q,0.0
86,q,0.1821
87,q,0.1986
88,q,0.1849
89,q,0.1951
90,q,0.2146
91,q,30.5502
92,w,0.0
93,q,0.0
94,q,0.9406
95,a,0.0
96,a,0.2532
97,a,0.2286
98,a,0.2593
99,a,0.2905
100,a,0.2418
101,a,0.2148
102,a,0.2619
103,a,0.2699
104,a,0.2695
105,q,0.0
106,q,5.7214
107,q,1.5867
108,q,0.3567
109,q,5.5642
110,q,2.412
111,q,2.7775
112,q,10.12
113,e,0.0
114,e,0.4747
115,w,0.0
116,q,0.0
117,q,1.6487
118,q,1.0019
119,a,0.0
120,a,0.2493
121,a,0.2348
122,q,0.0
123,a,0.0
124,a,0.2497
125,a,0.2268
126,a,0.2458
127,a,0.2918
128,a,0.1958
129,1,0.0
130,1,1.2006
131,4,0.0
132,e,0.0
133,e,0.5536
134,w,0.0
135,w,1.0715
136,w,1.5613
137,q,0.0
138,q,0.2084
139,q,0.2058
140,q,0.197
141,q,0.2026
142,q,0.2088
143,q,0.195
144,q,0.2162
145,q,0.2096
146,q,0.2299
147,q,0.2134
148,q,37.7638
149,q,0.3227
150,q,1.1383
151,q,0.9017
152,q,2.1159
153,q,3.7625
154,q,2.244
155,q,2.1423
156,q,2.1583
157,q,1.9667
158,q,4.5744
159,q,0.7753
160,q,2.7282
161,q,1.4543
162,q,5.5293
163,q,0.5408
164,q,4.1627
165,q,0.969
166,q,1.9611
167,e,0.0
168,e,0.359
169,r,0.0
170,1,0.0
171,1,5.7334
172,e,0.0
173,e,0.4443
174,q,0.0
175,q,2.1649
176,1,0.0
177,g,0.0
178,q,0.0
179,q,2.8582
180,q,2.3295
181,q,5.4528
182,q,2.6715
183,q,0.9763
184,q,2.6209
185,q,2.1518
186,q,1.6648
187,q,25.1863
188,e,0.0
189,e,0.2967
190,q,0.0
191,q,0.2774
192,q,0.23
193,q,0.7921
194,q,4.0242
195,a,0.0
196,q,0.0
197,q,6.4519
198,q,2.3126
199,r,0.0
200,r,0.1518
201,r,0.1597
202,r,0.166
203,d,0.0
204,d,0.1584
205,d,0.1753
206,d,0.1662
207,d,0.1687
208,d,0.1708
209,d,0.1853
210,q,0.0
211,q,0.2018
212,q,0.2371
213,q,0.2614
214,q,0.2393
215,q,0.1768
216,f,0.0
217,q,0.0
218,q,1.2917
219,q,1.3259
220,e,0.0
221,e,0.2829
222,q,0.0
223,a,0.0
224,a,0.3034
225,q,0.0
226,a,0.0
227,a,0.2182
228,q,0.0
229,a,0.0
230,w,0.0
231,a,0.0
232,a,1.1473
233,1,0.0
234,q,0.0
235,q,0.581
236,a,0.0
237,a,0.1991
238,q,0.0
239,a,0.0
240,a,0.2395
241,a,0.256
242,a,0.2244
243,e,0.0
244,e,0.2685
245,q,0.0
246,a,0.0
247,1,0.0
248,1,0.895
249,1,0.2179
250,1,0.1999
251,1,0.1939
252,1,0.2172
253,1,0.2032
254,1,0.2259
255,1,0.2249
256,1,0.3221
257,1,0.5478
258,1,2.2218
259,1,0.6121
260,1,0.2004
261,q,0.0
262,q,1.5777
263,q,1.2284
264,e,0.0
265,4,0.0
266,q,0.0
267,e,0.0
268,e,0.3543
269,e,0.1799
270,e,0.218
271,a,0.0
272,a,0.2251
273,a,0.1527
274,w,0.0
275,1,0.0
276,q,0.0
277,q,3.0432
278,q,0.6025
279,a,0.0
280,a,0.325
281,a,0.2068
282,a,0.2271
283,a,0.4499
284,a,0.2376
285,e,0.0
286,a,0.0
287,a,0.2329
288,e,0.0
289,a,0.0
290,a,0.204
291,a,0.1943
292,a,0.2224
293,a,0.2185
294,a,0.1765
295,a,0.1749
296,a,0.4147
297,a,0.1783
298,q,0.0
299,q,0.176
300,1,0.0
301,1,0.2735
302,1,0.173
303,1,0.2013
304,1,0.2017
305,1,0.1715
306,1,0.1945
307,r,0.0
308,r,0.1373
309,r,0.1634
310,r,0.1524
311,r,0.1664
312,r,0.1551
313,q,0.0
314,q,0.2002
315,q,0.3021
316,q,0.2542
317,q,0.1988
318,q,0.1961
319,q,6.1778
320,q,0.4995
321,q,2.2345
322,e,0.0
323,e,0.3223
324,w,0.0
325,q,0.0
326,q,0.5497
327,d,0.0
328,d,0.1777
329,d,0.1647
330,d,0.182
331,d,0.1556
332,q,0.0
333,q,0.178
334,q,0.2003
335,q,0.191
336,q,0.2141
337,q,0.1696
338,q,0.1824
339,q,0.1843
340,q,0.201
341,q,0.1765
342,q,0.1971
343,q,0.156
344,q,0.1807
345,q,0.1857
346,q,0.1943
347,q,0.2019
348,q,0.1969
349,q,0.2023
350,q,0.2567
351,g,0.0
352,q,0.0
353,e,0.0
354,e,0.2462
355,e,0.1904
356,q,0.0
357,1,0.0
358,1,0.7151
359,1,2.0902
360,w,0.0
361,q,0.0
362,q,1.8562
363,q,0.3309
364,q,0.8375
365,g,0.0
366,4,0.0
367,q,0.0
368,q,0.776
369,q,2.5732
370,q,2.1702
371,q,1.6148
372,q,13.5266
373,w,0.0
374,q,0.0
375,q,0.645
376,q,0.4958
377,q,1.4893
378,q,0.2907
379,q,0.2568
380,q,0.2227
381,q,0.2808
382,q,0.1852
383,e,0.0
384,e,0.68
385,1,0.0
386,q,0.0
387,e,0.0
388,e,0.1901
389,e,0.1864
390,q,0.0
391,q,0.7088
392,q,11.7038
393,q,1.6236
394,q,1.5133
395,q,1.1225
396,e,0.0
397,a,0.0
398,q,0.0
399,a,0.0
400,a,0.3167
401,a,0.5051
402,q,0.0
403,q,3.6404
404,q,0.8755
405,q,0.8096
406,q,41.2606
407,q,1.9643
408,q,0.961
409,q,0.867
410,4,0.0
411,1,0.0
412,q,0.0
413,e,0.0
414,e,0.2729
415,w,0.0
416,q,0.0
417,q,0.8104
418,q,0.5564
419,q,1.1258
420,q,0.8522
421,1,0.0
422,q,0.0
423,e,0.0
424,e,0.2007
425,e,0.158
426,a,0.0
427,a,0.2214
428,r,0.0
429,r,0.1501
430,r,0.1437
431,r,0.1311
432,d,0.0
433,d,0.1479
434,d,0.1694
435,q,0.0
436,a,0.0
437,a,0.1966
438,a,0.1709
439,a,0.1819
440,a,0.2067
441,a,0.2234
442,a,0.1417
443,a,0.1627
444,a,0.167
445,a,0.1923
446,a,0.1792
447,a,0.1807
448,a,0.1578
449,q,0.0
450,a,0.0
451,a,0.1868
452,a,0.24
453,a,0.1967
454,a,0.2017
455,f,0.0
456,a,0.0
457,a,0.5094
458,a,0.1839
459,a,0.1475
460,q,0.0
461,r,0.0
462,q,0.0
463,e,0.0
464,e,0.2608
465,q,0.0
466,e,0.0
467,e,1.0029
468,q,0.0
469,q,1.1791
470,q,0.2614
471,q,3.1673
472,w,0.0
473,q,0.0
474,q,0.4595
475,q,0.8421
476,a,0.0
477,a,0.1748
478,a,0.8474
479,a,0.234
480,a,0.2122
481,a,0.2173
482,a,0.227
483,q,0.0
484,1,0.0
485,1,2.0356
486,q,0.0
487,w,0.0
488,q,0.0
489,q,0.4839
490,q,0.2428
491,q,0.3583
492,q,0.8939
493,q,0.2473
494,q,0.1846
495,q,0.3237
496,4,0.0
497,r,0.0
498,e,0.0
499,e,0.2915
500,q,0.0
501,q,0.1939
502,q,0.163
503,w,0.0
504,q,0.0
505,q,2.0041
506,q,4.2869
507,q,1.5518
508,q,0.8338
509,q,0.8817
510,q,3.1399
511,q,59.64
512,q,1.6905
513,e,0.0
514,e,2.5702
515,e,3.1762
516,q,0.0
517,w,0.0
518,q,0.0
519,q,0.7009
520,q,0.2839
521,a,0.0
522,a,0.1871
523,a,0.1976
524,a,0.1924
525,a,0.2067
526,a,0.1848
527,a,0.2226
528,a,0.2257
529,q,0.0
530,q,2.59
531,q,0.2437
532,q,0.6025
533,q,1.041
534,q,0.7837
535,q,0.8145
536,q,0.6313
537,q,14.4214
538,w,0.0
539,q,0.0
540,q,0.4913
541,q,0.4424
542,q,2.8349
543,q,0.7417
544,q,0.522
545,q,0.2359
546,4,0.0
547,e,0.0
548,e,1.0436
549,q,0.0
550,a,0.0
551,a,0.2249
552,a,0.2475
553,r,0.0
554,r,0.1531
555,r,0.167
556,r,0.1808
557,d,0.0
558,d,0.1541
559,d,0.1757
560,q,0.0
561,q,0.4314
562,q,0.2134
563,q,0.2188
564,f,0.0
565,a,0.0
566,a,0.1916
567,a,0.2843
568,a,0.2097
569,a,0.1888
570,a,0.1783
571,a,0.2002
572,q,0.0
573,q,0.2149
574,q,0.339
575,q,0.252
576,q,0.1876
577,q,0.197
578,e,0.0
579,a,0.0
580,a,0.2549
581,a,0.1813
582,a,0.1861
583,a,0.1897
584,a,0.179
585,a,0.1764
586,a,0.1845
587,a,0.1898
588,a,0.1829
589,a,0.1956
590,e,0.0
591,e,0.2181
592,e,0.1889
593,e,0.5011
594,w,0.0
595,q,0.0
596,q,0.1924
597,q,0.2263
598,q,0.2024
599,q,0.1949
600,q,0.1877
601,q,0.1957
602,q,0.3552
603,q,0.1661
604,q,0.1713
605,q,0.1682
